what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325351851896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325351888929
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325351893892
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325351908498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325351908570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325351909584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325351909637
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325351911040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325351919760
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325351925539
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325351925762
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325351925784
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325351927495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325351931448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325351932476
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1325351932483
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325351932483
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325351933058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325351937907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325351954172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1325351986073
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1325351994038
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1325351999296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1325352001050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325352002293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325352016141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325352043564
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325352052096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325352053509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325352091724
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325352099469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325352101438
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325352101463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325352103924
