what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325430567533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325430666515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325430667319
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325430920466
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325430923968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325430956001
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325430965010
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325430966941
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325430968972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325430969059
error,log,,,"Request for monitor: 'RequestMonitor (org.eclipse.cdt.dsf.mi.service.MIRunControl$9@4e6681): Status ERROR: org.eclipse.cdt.dsf.gdb code=10004 Interrupt failed. null' resulted in an error.",1325430970249
error,log,,,"Invalid breakpoint parameter(s)",1325430970251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325430972496
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325430974164
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1325430975288
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325430975481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325430986654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431015298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431019702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431021513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431023158
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431103729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431113694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431114826
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431115566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431143384
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325431151488
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325431169030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431171568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431171673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431174272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431177047
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325431179130
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431182293
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431182322
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1325431182324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431187774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325431192832
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1325431195132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325431196271
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1325431200368
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1325431214054
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1325431214124
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1325431214607
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325431215685
