what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323279778065
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323279779073
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323279779101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323279818096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323279963365
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1323279975019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323279977703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323279977871
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1323279981083
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1323279985151
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323279996899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323280040806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323280042091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323280051935
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323280053815
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323280065352
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323280071166
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1323280085316
started,bundle,ecobertura.core,0.9.8.201007202152,"ecobertura.core",1323280085435
started,bundle,ecobertura.ui,0.9.8.201007202152,"ecobertura.ui",1323280085469
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201109151620,"org.eclipse.cdt.debug.core",1323280086061
started,bundle,org.eclipse.cdt.debug.ui,7.1.1.201109151620,"org.eclipse.cdt.debug.ui",1323280086066
